design_id,workload_motif,component,energy,fraction,status
paper_full_bootstrap_001,cnn_inference,buf,12798.285760,0.001237,bootstrap_observed
paper_full_bootstrap_001,cnn_inference,bus,3265.240000,0.000315,bootstrap_observed
paper_full_bootstrap_001,cnn_inference,dram,1651078.146100,0.159525,bootstrap_observed
paper_full_bootstrap_001,cnn_inference,mac,4575411.591240,0.442071,bootstrap_observed
paper_full_bootstrap_001,cnn_inference,noc,4100507.151850,0.396186,bootstrap_observed
paper_full_bootstrap_001,cnn_inference,nop,0.000000,0.000000,bootstrap_observed
paper_full_bootstrap_001,cnn_inference,ubuf,6891.384640,0.000666,bootstrap_observed
paper_full_bootstrap_009,long_context_prefill,buf,133363229.911940,0.002470,bootstrap_observed
paper_full_bootstrap_009,long_context_prefill,bus,1846794.623390,0.000034,bootstrap_observed
paper_full_bootstrap_009,long_context_prefill,dram,6907241252.782110,0.127948,bootstrap_observed
paper_full_bootstrap_009,long_context_prefill,mac,272909130.897940,0.005055,bootstrap_observed
paper_full_bootstrap_009,long_context_prefill,noc,17968812203.822121,0.332851,bootstrap_observed
paper_full_bootstrap_009,long_context_prefill,nop,28628569436.329090,0.530310,bootstrap_observed
paper_full_bootstrap_009,long_context_prefill,ubuf,71810969.952580,0.001330,bootstrap_observed
paper_full_bootstrap_017,kv_heavy_decode,buf,20236.582910,0.000410,bootstrap_observed
paper_full_bootstrap_017,kv_heavy_decode,bus,9605.120000,0.000195,bootstrap_observed
paper_full_bootstrap_017,kv_heavy_decode,dram,6712581.611520,0.135984,bootstrap_observed
paper_full_bootstrap_017,kv_heavy_decode,mac,11296703.296700,0.228850,bootstrap_observed
paper_full_bootstrap_017,kv_heavy_decode,noc,15739992.932350,0.318862,bootstrap_observed
paper_full_bootstrap_017,kv_heavy_decode,nop,15572953.124040,0.315478,bootstrap_observed
paper_full_bootstrap_017,kv_heavy_decode,ubuf,10896.621570,0.000221,bootstrap_observed
paper_full_bootstrap_025,cnn_inference,buf,285.930550,0.000006,bootstrap_observed
paper_full_bootstrap_025,cnn_inference,bus,684.695200,0.000015,bootstrap_observed
paper_full_bootstrap_025,cnn_inference,dram,172248.314400,0.003837,bootstrap_observed
paper_full_bootstrap_025,cnn_inference,mac,32967032.967030,0.734397,bootstrap_observed
paper_full_bootstrap_025,cnn_inference,noc,2050143.836800,0.045670,bootstrap_observed
paper_full_bootstrap_025,cnn_inference,nop,9699407.841390,0.216071,bootstrap_observed
paper_full_bootstrap_025,cnn_inference,ubuf,153.962610,0.000003,bootstrap_observed
paper_full_bootstrap_033,long_context_prefill,buf,5783979617.408780,0.003234,bootstrap_observed
paper_full_bootstrap_033,long_context_prefill,bus,13631102.962890,0.000008,bootstrap_observed
paper_full_bootstrap_033,long_context_prefill,dram,210451138200.207306,0.117654,bootstrap_observed
paper_full_bootstrap_033,long_context_prefill,mac,1847384886.078390,0.001033,bootstrap_observed
paper_full_bootstrap_033,long_context_prefill,noc,695502018840.000732,0.388824,bootstrap_observed
paper_full_bootstrap_033,long_context_prefill,nop,872018567611.024170,0.487507,bootstrap_observed
paper_full_bootstrap_033,long_context_prefill,ubuf,3114450563.220110,0.001741,bootstrap_observed
paper_full_bootstrap_041,dense_decoder_block,buf,708462.510080,0.000285,bootstrap_observed
paper_full_bootstrap_041,dense_decoder_block,bus,212284.211200,0.000085,bootstrap_observed
paper_full_bootstrap_041,dense_decoder_block,dram,161327221.309440,0.064973,bootstrap_observed
paper_full_bootstrap_041,dense_decoder_block,mac,87433262.811430,0.035213,bootstrap_observed
paper_full_bootstrap_041,dense_decoder_block,noc,442800944.752860,0.178334,bootstrap_observed
paper_full_bootstrap_041,dense_decoder_block,nop,1790119046.328530,0.720955,bootstrap_observed
paper_full_bootstrap_041,dense_decoder_block,ubuf,381479.813120,0.000154,bootstrap_observed
paper_full_bootstrap_049,mixtral_moe_trace,buf,36419975.504640,0.002164,bootstrap_observed
paper_full_bootstrap_049,mixtral_moe_trace,bus,1429532.088320,0.000085,bootstrap_observed
paper_full_bootstrap_049,mixtral_moe_trace,dram,2762659563.561870,0.164184,bootstrap_observed
paper_full_bootstrap_049,mixtral_moe_trace,mac,330841323.603010,0.019662,bootstrap_observed
paper_full_bootstrap_049,mixtral_moe_trace,noc,4709831427.527190,0.279905,bootstrap_observed
paper_full_bootstrap_049,mixtral_moe_trace,nop,8965768959.829250,0.532834,bootstrap_observed
paper_full_bootstrap_049,mixtral_moe_trace,ubuf,19610756.040960,0.001165,bootstrap_observed
paper_full_bootstrap_057,megatron_collective_trace,buf,22244359.667710,0.000138,bootstrap_observed
paper_full_bootstrap_057,megatron_collective_trace,bus,6074904.084480,0.000038,bootstrap_observed
paper_full_bootstrap_057,megatron_collective_trace,dram,14943269179.883471,0.092884,bootstrap_observed
paper_full_bootstrap_057,megatron_collective_trace,mac,802923102.725410,0.004991,bootstrap_observed
paper_full_bootstrap_057,megatron_collective_trace,noc,39560446391.662697,0.245899,bootstrap_observed
paper_full_bootstrap_057,megatron_collective_trace,nop,105534180493.885376,0.655976,bootstrap_observed
paper_full_bootstrap_057,megatron_collective_trace,ubuf,11977732.128770,0.000074,bootstrap_observed
